##;ENG;FRA;ITA;SPA;GER;POL;;;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV6591;Guysborough;Guysborough;Guysborough;Guysborough;Guysborough;Guysborough;Guysborough;Guysborough;;;X;
PROV6592;Bridgewater;Bridgewater;Bridgewater;Bridgewater;Bridgewater;Bridgewater;Bridgewater;Bridgewater;;;X;
PROV6593;Yarmouth;Yarmouth;Yarmouth;Yarmouth;Yarmouth;Yarmouth;Yarmouth;Yarmouth;;;X;
PROV6594;Kentville;Kentville;Kentville;Kentville;Kentville;Kentville;Kentville;Kentville;;;X;
PROV6595;Antigonish;Antigonish;Antigonish;Antigonish;Antigonish;Antigonish;Antigonish;Antigonish;;;X;
PROV6596;Truro, NS;Truro, NS;Truro, NS;Truro, NS;Truro, NS;Truro, NS;Truro, NS;Truro, NS;;;X;
PROV6597;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;Sable Island Station;;;X;
PROV6598;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;Bathurst;;;X;
PROV6599;Edmundston;Edmundston;Edmundston;Edmundston;Edmundston;Edmundston;Edmundston;Edmundston;;;X;
PROV6600;Nackawic;Nackawic;Nackawic;Nackawic;Nackawic;Nackawic;Nackawic;Nackawic;;;X;
PROV6601;Oromocto;Oromocto;Oromocto;Oromocto;Oromocto;Oromocto;Oromocto;Oromocto;;;X;
PROV6602;Moncton;Moncton;Moncton;Moncton;Moncton;Moncton;Moncton;Moncton;;;X;
PROV6603;Chatham;Chatham;Chatham;Chatham;Chatham;Chatham;Chatham;Chatham;;;X;
PROV6604;Saint John;Saint John;Saint John;Saint John;Saint John;Saint John;Saint John;Saint John;;;X;
PROV6605;Fort George;Fort George;Fort George;Fort George;Fort George;Fort George;Fort George;Fort George;;;X;
PROV6606;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;Fort Rupert;;;X;
PROV6607;Waswanipi;Waswanipi;Waswanipi;Waswanipi;Waswanipi;Waswanipi;Waswanipi;Waswanipi;;;X;
PROV6608;Rouyn;Rouyn;Rouyn;Rouyn;Rouyn;Rouyn;Rouyn;Rouyn;;;X;
PROV6609;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;Ville-Marie;;;X;
PROV6610;Hull, QC;Hull, QC;Hull, QC;Hull, QC;Hull, QC;Hull, QC;Hull, QC;Hull, QC;;;X;
PROV6611;Akulivik;Akulivik;Akulivik;Akulivik;Akulivik;Akulivik;Akulivik;Akulivik;;;X;
PROV6612;Povungnituk;Povungnituk;Povungnituk;Povungnituk;Povungnituk;Povungnituk;Povungnituk;Povungnituk;;;X;
PROV6613;Inukjuak;Inukjuak;Inukjuak;Inukjuak;Inukjuak;Inukjuak;Inukjuak;Inukjuak;;;X;
PROV6614;Great Whale River;Great Whale River;Great Whale River;Great Whale River;Great Whale River;Great Whale River;Great Whale River;Great Whale River;;;X;
PROV6615;Aupaluk;Aupaluk;Aupaluk;Aupaluk;Aupaluk;Aupaluk;Aupaluk;Aupaluk;;;X;
PROV6616;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;Kangiqsujuaq;;;X;
PROV6617;Salluit;Salluit;Salluit;Salluit;Salluit;Salluit;Salluit;Salluit;;;X;
PROV6618;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;Illutaliviniq;;;X;
PROV6619;Nitchequon;Nitchequon;Nitchequon;Nitchequon;Nitchequon;Nitchequon;Nitchequon;Nitchequon;;;X;
PROV6620;Mistissini;Mistissini;Mistissini;Mistissini;Mistissini;Mistissini;Mistissini;Mistissini;;;X;
PROV6621;Chapais;Chapais;Chapais;Chapais;Chapais;Chapais;Chapais;Chapais;;;X;
PROV6622;Nemiscau;Nemiscau;Nemiscau;Nemiscau;Nemiscau;Nemiscau;Nemiscau;Nemiscau;;;X;
PROV6623;Labrecque;Labrecque;Labrecque;Labrecque;Labrecque;Labrecque;Labrecque;Labrecque;;;X;
PROV6624;Dolbeau;Dolbeau;Dolbeau;Dolbeau;Dolbeau;Dolbeau;Dolbeau;Dolbeau;;;X;
PROV6625;Roberval;Roberval;Roberval;Roberval;Roberval;Roberval;Roberval;Roberval;;;X;
PROV6626;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;Trois-Rivieres;;;X;
PROV6627;La Tuque;La Tuque;La Tuque;La Tuque;La Tuque;La Tuque;La Tuque;La Tuque;;;X;
PROV6628;Maniwaki;Maniwaki;Maniwaki;Maniwaki;Maniwaki;Maniwaki;Maniwaki;Maniwaki;;;X;
PROV6629;Senneterre;Senneterre;Senneterre;Senneterre;Senneterre;Senneterre;Senneterre;Senneterre;;;X;
PROV6630;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;Mont-Laurier;;;X;
PROV6631;Joliette;Joliette;Joliette;Joliette;Joliette;Joliette;Joliette;Joliette;;;X;
PROV6632;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;Baie-Saint-Paul;;;X;
PROV6633;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;Sept-Iles;;;X;
PROV6634;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;Les Escoumins;;;X;
PROV6635;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;Harrington Harbour;;;X;
PROV6636;Netagamu River;Netagamu River;Netagamu River;Netagamu River;Netagamu River;Netagamu River;Netagamu River;Netagamu River;;;X;
PROV6637;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;Havre-Saint-Pierre;;;X;
PROV6638;Port-Menier;Port-Menier;Port-Menier;Port-Menier;Port-Menier;Port-Menier;Port-Menier;Port-Menier;;;X;
PROV6639;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;Cap-aux-Meules;;;X;
PROV6640;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;Riviere-du-Loup;;;X;
PROV6641;Levis;Levis;Levis;Levis;Levis;Levis;Levis;Levis;;;X;
PROV6642;Drummondville;Drummondville;Drummondville;Drummondville;Drummondville;Drummondville;Drummondville;Drummondville;;;X;
PROV6643;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;Thetford Mines;;;X;
PROV6644;Perce;Perce;Perce;Perce;Perce;Perce;Perce;Perce;;;X;
PROV6645;Gaspe;Gaspe;Gaspe;Gaspe;Gaspe;Gaspe;Gaspe;Gaspe;;;X;
PROV6646;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;Pointe-a-la-Croix;;;X;
PROV6647;North West River;North West River;North West River;North West River;North West River;North West River;North West River;North West River;;;X;
PROV6648;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;Davis Inlet;;;X;
PROV6649;Hebron;Hebron;Hebron;Hebron;Hebron;Hebron;Hebron;Hebron;;;X;
PROV6650;Hopedale;Hopedale;Hopedale;Hopedale;Hopedale;Hopedale;Hopedale;Hopedale;;;X;
PROV6651;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;Port Hope Simpson;;;X;
PROV6652;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;Michikamau Lake;;;X;
PROV6653;Hamilton River;Hamilton River;Hamilton River;Hamilton River;Hamilton River;Hamilton River;Hamilton River;Hamilton River;;;X;
PROV6654;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;Burnt Lake;;;X;
PROV6655;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;Caniapiscau;;;X;
PROV6656;Grand Falls;Grand Falls;Grand Falls;Grand Falls;Grand Falls;Grand Falls;Grand Falls;Grand Falls;;;X;
PROV6657;St. Anthony;St. Anthony;St. Anthony;St. Anthony;St. Anthony;St. Anthony;St. Anthony;St. Anthony;;;X;
PROV6658;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;Harbour Breton;;;X;
PROV6659;Gander;Gander;Gander;Gander;Gander;Gander;Gander;Gander;;;X;
PROV6660;Grand Bank;Grand Bank;Grand Bank;Grand Bank;Grand Bank;Grand Bank;Grand Bank;Grand Bank;;;X;
PROV6661;Stephenville;Stephenville;Stephenville;Stephenville;Stephenville;Stephenville;Stephenville;Stephenville;;;X;
PROV6662;Channel-Port aux Basques;Channel-Port aux Basques;Channel-Port aux Basques;Channel-Port aux Basques;Channel-Port aux Basques;Channel-Port aux Basques;Channel-Port aux Basques;Channel-Port aux Basques;;;X;
PROV6663;Botwood;Botwood;Botwood;Botwood;Botwood;Botwood;Botwood;Botwood;;;X;
PROV6664;Rocky Harbour;Rocky Harbour;Rocky Harbour;Rocky Harbour;Rocky Harbour;Rocky Harbour;Rocky Harbour;Rocky Harbour;;;X;
PROV6665;Cheticamp;Cheticamp;Cheticamp;Cheticamp;Cheticamp;Cheticamp;Cheticamp;Cheticamp;;;X;
PROV6666;English River Post;English River Post;English River Post;English River Post;English River Post;English River Post;English River Post;English River Post;;;X;
PROV6667;Moosonee;Moosonee;Moosonee;Moosonee;Moosonee;Moosonee;Moosonee;Moosonee;;;X;
PROV6668;Attawapiskat;Attawapiskat;Attawapiskat;Attawapiskat;Attawapiskat;Attawapiskat;Attawapiskat;Attawapiskat;;;X;
PROV6669;Winisk;Winisk;Winisk;Winisk;Winisk;Winisk;Winisk;Winisk;;;X;
PROV6670;Fort Severn;Fort Severn;Fort Severn;Fort Severn;Fort Severn;Fort Severn;Fort Severn;Fort Severn;;;X;
PROV6671;Fraserdale;Fraserdale;Fraserdale;Fraserdale;Fraserdale;Fraserdale;Fraserdale;Fraserdale;;;X;
PROV6672;Deer Lake;Deer Lake;Deer Lake;Deer Lake;Deer Lake;Deer Lake;Deer Lake;Deer Lake;;;X;
PROV6673;Keewatin;Keewatin;Keewatin;Keewatin;Keewatin;Keewatin;Keewatin;Keewatin;;;X;
PROV6674;Savant Lake;Savant Lake;Savant Lake;Savant Lake;Savant Lake;Savant Lake;Savant Lake;Savant Lake;;;X;
PROV6675;Red Lake;Red Lake;Red Lake;Red Lake;Red Lake;Red Lake;Red Lake;Red Lake;;;X;
PROV6676;Big Trout Lake;Big Trout Lake;Big Trout Lake;Big Trout Lake;Big Trout Lake;Big Trout Lake;Big Trout Lake;Big Trout Lake;;;X;
PROV6677;Dryden;Dryden;Dryden;Dryden;Dryden;Dryden;Dryden;Dryden;;;X;
PROV6678;Kenora;Kenora;Kenora;Kenora;Kenora;Kenora;Kenora;Kenora;;;X;
PROV6679;Fort Frances;Fort Frances;Fort Frances;Fort Frances;Fort Frances;Fort Frances;Fort Frances;Fort Frances;;;X;
PROV6680;Armstrong;Armstrong;Armstrong;Armstrong;Armstrong;Armstrong;Armstrong;Armstrong;;;X;
PROV6681;Ignace;Ignace;Ignace;Ignace;Ignace;Ignace;Ignace;Ignace;;;X;
PROV6682;Atikokan;Atikokan;Atikokan;Atikokan;Atikokan;Atikokan;Atikokan;Atikokan;;;X;
PROV6683;Oba;Oba;Oba;Oba;Oba;Oba;Oba;Oba;;;X;
PROV6684;Longlac;Longlac;Longlac;Longlac;Longlac;Longlac;Longlac;Longlac;;;X;
PROV6685;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;Geraldton;;;X;
PROV6686;Pagwa River;Pagwa River;Pagwa River;Pagwa River;Pagwa River;Pagwa River;Pagwa River;Pagwa River;;;X;
PROV6687;Ogoki;Ogoki;Ogoki;Ogoki;Ogoki;Ogoki;Ogoki;Ogoki;;;X;
PROV6688;Chapleau;Chapleau;Chapleau;Chapleau;Chapleau;Chapleau;Chapleau;Chapleau;;;X;
PROV6689;Wawa;Wawa;Wawa;Wawa;Wawa;Wawa;Wawa;Wawa;;;X;
PROV6690;Kapuskasing;Kapuskasing;Kapuskasing;Kapuskasing;Kapuskasing;Kapuskasing;Kapuskasing;Kapuskasing;;;X;
PROV6691;North Bay;North Bay;North Bay;North Bay;North Bay;North Bay;North Bay;North Bay;;;X;
PROV6692;Haileybury;Haileybury;Haileybury;Haileybury;Haileybury;Haileybury;Haileybury;Haileybury;;;X;
PROV6693;Peterborough;Peterborough;Peterborough;Peterborough;Peterborough;Peterborough;Peterborough;Peterborough;;;X;
PROV6694;Owen Sound;Owen Sound;Owen Sound;Owen Sound;Owen Sound;Owen Sound;Owen Sound;Owen Sound;;;X;
PROV6695;Kitchener;Kitchener;Kitchener;Kitchener;Kitchener;Kitchener;Kitchener;Kitchener;;;X;
PROV6696;London, ON;London, ON;London, ON;London, ON;London, ON;London, ON;London, ON;London, ON;;;X;
PROV6697;Windsor;Windsor;Windsor;Windsor;Windsor;Windsor;Windsor;Windsor;;;X;
PROV6698;Parry Sound;Parry Sound;Parry Sound;Parry Sound;Parry Sound;Parry Sound;Parry Sound;Parry Sound;;;X;
PROV6699;Barrie;Barrie;Barrie;Barrie;Barrie;Barrie;Barrie;Barrie;;;X;
PROV6700;Kingston, ON;Kingston, ON;Kingston, ON;Kingston, ON;Kingston, ON;Kingston, ON;Kingston, ON;Kingston, ON;;;X;
PROV6701;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;Cornwall;;;X;
PROV6702;Belleville;Belleville;Belleville;Belleville;Belleville;Belleville;Belleville;Belleville;;;X;
PROV6703;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;Pembroke;;;X;
PROV6704;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;Gore Bay;;;X;
PROV6705;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;Prince of Wales Fort;;;X;
PROV6706;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;Lac Brochet;;;X;
PROV6707;Brochet;Brochet;Brochet;Brochet;Brochet;Brochet;Brochet;Brochet;;;X;
PROV6708;The Pas;The Pas;The Pas;The Pas;The Pas;The Pas;The Pas;The Pas;;;X;
PROV6709;Swan River;Swan River;Swan River;Swan River;Swan River;Swan River;Swan River;Swan River;;;X;
PROV6710;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;Dauphin;;;X;
PROV6711;Neepawa;Neepawa;Neepawa;Neepawa;Neepawa;Neepawa;Neepawa;Neepawa;;;X;
PROV6712;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;;;X;
PROV6713;Churchill;Churchill;Churchill;Churchill;Churchill;Churchill;Churchill;Churchill;;;X;
PROV6714;Port Nelson;Port Nelson;Port Nelson;Port Nelson;Port Nelson;Port Nelson;Port Nelson;Port Nelson;;;X;
PROV6715;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;Nelson House;;;X;
PROV6716;York Factory;York Factory;York Factory;York Factory;York Factory;York Factory;York Factory;York Factory;;;X;
PROV6717;Arborg;Arborg;Arborg;Arborg;Arborg;Arborg;Arborg;Arborg;;;X;
PROV6718;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;Gypsumville;;;X;
PROV6719;Berens River;Berens River;Berens River;Berens River;Berens River;Berens River;Berens River;Berens River;;;X;
PROV6720;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;Steinbach;;;X;
PROV6721;Lac du Bonnet;Lac du Bonnet;Lac du Bonnet;Lac du Bonnet;Lac du Bonnet;Lac du Bonnet;Lac du Bonnet;Lac du Bonnet;;;X;
PROV6722;Winkler;Winkler;Winkler;Winkler;Winkler;Winkler;Winkler;Winkler;;;X;
PROV6723;Deloraine;Deloraine;Deloraine;Deloraine;Deloraine;Deloraine;Deloraine;Deloraine;;;X;
PROV6724;Grand Rapids, MB;Grand Rapids, MB;Grand Rapids, MB;Grand Rapids, MB;Grand Rapids, MB;Grand Rapids, MB;Grand Rapids, MB;Grand Rapids, MB;;;X;
PROV6725;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;Fond-du-Lac;;;X;
PROV6726;La Loche;La Loche;La Loche;La Loche;La Loche;La Loche;La Loche;La Loche;;;X;
PROV6727;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;Pierceland;;;X;
PROV6728;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;Meadow Lake;;;X;
PROV6729;Kindersley;Kindersley;Kindersley;Kindersley;Kindersley;Kindersley;Kindersley;Kindersley;;;X;
PROV6730;Eston;Eston;Eston;Eston;Eston;Eston;Eston;Eston;;;X;
PROV6731;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;Swift Current;;;X;
PROV6732;Maple Creek;Maple Creek;Maple Creek;Maple Creek;Maple Creek;Maple Creek;Maple Creek;Maple Creek;;;X;
PROV6733;Stanley Mission;Stanley Mission;Stanley Mission;Stanley Mission;Stanley Mission;Stanley Mission;Stanley Mission;Stanley Mission;;;X;
PROV6734;Southend;Southend;Southend;Southend;Southend;Southend;Southend;Southend;;;X;
PROV6735;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;Cree Lake;;;X;
PROV6736;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;La Ronge;;;X;
PROV6737;Choiceland;Choiceland;Choiceland;Choiceland;Choiceland;Choiceland;Choiceland;Choiceland;;;X;
PROV6738;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;Prince Albert;;;X;
PROV6739;North Battleford;North Battleford;North Battleford;North Battleford;North Battleford;North Battleford;North Battleford;North Battleford;;;X;
PROV6740;Pinehouse;Pinehouse;Pinehouse;Pinehouse;Pinehouse;Pinehouse;Pinehouse;Pinehouse;;;X;
PROV6741;Battleford;Battleford;Battleford;Battleford;Battleford;Battleford;Battleford;Battleford;;;X;
PROV6742;Nipawin;Nipawin;Nipawin;Nipawin;Nipawin;Nipawin;Nipawin;Nipawin;;;X;
PROV6743;Sandy Bay;Sandy Bay;Sandy Bay;Sandy Bay;Sandy Bay;Sandy Bay;Sandy Bay;Sandy Bay;;;X;
PROV6744;Humboldt;Humboldt;Humboldt;Humboldt;Humboldt;Humboldt;Humboldt;Humboldt;;;X;
PROV6745;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;Yorkton;;;X;
PROV6746;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;Kamsack;;;X;
PROV6747;Regina Beach;Regina Beach;Regina Beach;Regina Beach;Regina Beach;Regina Beach;Regina Beach;Regina Beach;;;X;
PROV6748;Assiniboia;Assiniboia;Assiniboia;Assiniboia;Assiniboia;Assiniboia;Assiniboia;Assiniboia;;;X;
PROV6749;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;Moose Jaw;;;X;
PROV6750;Carlyle;Carlyle;Carlyle;Carlyle;Carlyle;Carlyle;Carlyle;Carlyle;;;X;
PROV6751;Moosomin;Moosomin;Moosomin;Moosomin;Moosomin;Moosomin;Moosomin;Moosomin;;;X;
PROV6752;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;Weyburn;;;X;
PROV6753;Surrey;Surrey;Surrey;Surrey;Surrey;Surrey;Surrey;Surrey;;;X;
PROV6754;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;Kamloops;;;X;
PROV6755;Nanaimo;Nanaimo;Nanaimo;Nanaimo;Nanaimo;Nanaimo;Nanaimo;Nanaimo;;;X;
PROV6756;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;Campbell River;;;X;
PROV6757;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;Cranbrook;;;X;
PROV6758;Port Alberni;Port Alberni;Port Alberni;Port Alberni;Port Alberni;Port Alberni;Port Alberni;Port Alberni;;;X;
PROV6759;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;Salmon Arm;;;X;
PROV6760;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;Dawson Creek;;;X;
PROV6761;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;Williams Lake;;;X;
PROV6762;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;Quesnel;;;X;
PROV6763;Nelson, BC;Nelson, BC;Nelson, BC;Nelson, BC;Nelson, BC;Nelson, BC;Nelson, BC;Nelson, BC;;;X;
PROV6764;Revelstoke;Revelstoke;Revelstoke;Revelstoke;Revelstoke;Revelstoke;Revelstoke;Revelstoke;;;X;
PROV6765;Squamish;Squamish;Squamish;Squamish;Squamish;Squamish;Squamish;Squamish;;;X;
PROV6766;Summerland;Summerland;Summerland;Summerland;Summerland;Summerland;Summerland;Summerland;;;X;
PROV6767;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;Kitimat;;;X;
PROV6768;Sechelt;Sechelt;Sechelt;Sechelt;Sechelt;Sechelt;Sechelt;Sechelt;;;X;
PROV6769;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;Vanderhoof;;;X;
PROV6770;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;Fort St. James;;;X;
PROV6771;Stewart;Stewart;Stewart;Stewart;Stewart;Stewart;Stewart;Stewart;;;X;
PROV6772;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;Queen Charlotte;;;X;
PROV6773;Atlin;Atlin;Atlin;Atlin;Atlin;Atlin;Atlin;Atlin;;;X;
PROV6774;Port Hardy;Port Hardy;Port Hardy;Port Hardy;Port Hardy;Port Hardy;Port Hardy;Port Hardy;;;X;
PROV6775;Clinton;Clinton;Clinton;Clinton;Clinton;Clinton;Clinton;Clinton;;;X;
PROV6776;Bend;Bend;Bend;Bend;Bend;Bend;Bend;Bend;;;X;
PROV6777;Yale;Yale;Yale;Yale;Yale;Yale;Yale;Yale;;;X;
PROV6778;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;Tahltan;;;X;
PROV6779;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;Iskut River;;;X;
PROV6780;Bennett;Bennett;Bennett;Bennett;Bennett;Bennett;Bennett;Bennett;;;X;
PROV6781;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;Lower Post;;;X;
PROV6782;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;Fort Nelson;;;X;
PROV6783;Bella Bella;Bella Bella;Bella Bella;Bella Bella;Bella Bella;Bella Bella;Bella Bella;Bella Bella;;;X;
PROV6784;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;Rivers Inlet;;;X;
PROV6785;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;Hanceville;;;X;
PROV6786;Alexis Creek;Alexis Creek;Alexis Creek;Alexis Creek;Alexis Creek;Alexis Creek;Alexis Creek;Alexis Creek;;;X;
PROV6787;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;Dawson City;;;X;
PROV6788;Carmacks;Carmacks;Carmacks;Carmacks;Carmacks;Carmacks;Carmacks;Carmacks;;;X;
PROV6789;Mayo;Mayo;Mayo;Mayo;Mayo;Mayo;Mayo;Mayo;;;X;
PROV6790;Teslin;Teslin;Teslin;Teslin;Teslin;Teslin;Teslin;Teslin;;;X;
PROV6791;Burwash Landing;Burwash Landing;Burwash Landing;Burwash Landing;Burwash Landing;Burwash Landing;Burwash Landing;Burwash Landing;;;X;
PROV6792;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;Two and One-Half Mile Village;;;X;
PROV6793;Forty Mile;Forty Mile;Forty Mile;Forty Mile;Forty Mile;Forty Mile;Forty Mile;Forty Mile;;;X;
PROV6794;Hay River;Hay River;Hay River;Hay River;Hay River;Hay River;Hay River;Hay River;;;X;
PROV6795;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;Fort Smith, NT;;;X;
PROV6796;Rae;Rae;Rae;Rae;Rae;Rae;Rae;Rae;;;X;
PROV6797;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;Fort Simpson;;;X;
PROV6798;Fort McPherson;Fort McPherson;Fort McPherson;Fort McPherson;Fort McPherson;Fort McPherson;Fort McPherson;Fort McPherson;;;X;
PROV6799;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;Fort Providence;;;X;
PROV6800;Snowdrift;Snowdrift;Snowdrift;Snowdrift;Snowdrift;Snowdrift;Snowdrift;Snowdrift;;;X;
PROV6801;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;Fort Reliance;;;X;
PROV6802;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;Red Deer;;;X;
PROV6803;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;Lethbridge;;;X;
PROV6804;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;Medicine Hat;;;X;
PROV6805;Airdrie;Airdrie;Airdrie;Airdrie;Airdrie;Airdrie;Airdrie;Airdrie;;;X;
